,Time,Tweet,Favorites,Retweets
40,2019-06-09 14:25:29,We tried a waste free challenge and here is how it went https://t.co/UWkhRM8nG3 #wastefree #reducewaste,0,0
41,2019-06-09 12:42:33, The Sims 4  Island Living    https://t.co/mLYEjYI5CW,1,0
42,2019-06-09 09:36:24,The weather is soooooo good  Let's go picnic and have fun in the sun  Find more lunch inspirations https://t.co/YaqhP85ooa,0,0
43,2019-06-09 05:46:22,#WasteFree product cafe+ shop at #Bangkok\n\n#reduce #refuse #BYOB \n\nBetter Moon - Refill Station \n2031 Sukh https://t.co/LRpFhLthO6,0,0
44,2019-06-09 03:12:33,Get ready for the milkwomen    \n*\n*\n*\n*\n#women #girlswholift #womensrights #zerowaste #zero https://t.co/snVAt77SBL,0,0
45,2019-06-08 16:07:04,RT @CtheLoop: Thanks @maatschapwij for the inspiration and sharing our story on #worldenvironmentday ! #together #circulareconomy #collabor,0,1
46,2019-06-07 20:20:04,RT @Sustain_PVD: So ready for @PVDFest! Keep an eye out for #ZeroWaste stations and help us make this year's celebration as #green &amp; #waste,0,3
47,2019-06-07 19:34:53,RT @Sustain_PVD: So ready for @PVDFest! Keep an eye out for #ZeroWaste stations and help us make this year's celebration as #green &amp; #waste,0,3
48,2019-06-07 19:27:55,RT @Sustain_PVD: So ready for @PVDFest! Keep an eye out for #ZeroWaste stations and help us make this year's celebration as #green &amp; #waste,0,3
49,2019-06-07 19:24:29,So ready for @PVDFest! Keep an eye out for #ZeroWaste stations and help us make this year's celebration as #green &amp; https://t.co/mqYuDI715b,3,3
50,2019-06-07 14:31:29,RT @thisisntanna: Looking for bloggers and writers on #recycling  #zerowastehome #zerowastelifestyle #wastefree #reuse #greenliving #nowast,0,3
51,2019-06-07 13:41:55,My Not using plastic ass bitch trendy ass self #savethefishies #plasticfree #plasticwaste #plasticpollution https://t.co/rtG3CT1jKi,1,0
52,2019-06-07 13:16:51,"Its hard to change adults mind. So, its important to educate children about environmental awareness when they are https://t.co/225p8SwRLp",0,0
53,2019-06-07 13:02:41,Which one are you? Bring you own water or buy bottled water? #wastefree #zerowaste #thehivebulkfoods  https://t.co/3feq3j14rp,0,0
54,2019-06-07 12:25:07,One more #ZeroWaste event! We are glad to have combined the efforts with our partners from FARA to jointly strive f https://t.co/s6LR7sNXpQ,2,0
55,2019-06-07 10:02:59,RT @CambridgeJBS: A #startup supported by @CamSocVent offers #wastefree alternatives and hopes to promote #sustainable and environmentally,0,4
56,2019-06-06 20:58:33,RT @thisisntanna: Looking for bloggers and writers on #recycling  #zerowastehome #zerowastelifestyle #wastefree #reuse #greenliving #nowast,0,3
57,2019-06-06 20:10:45,RT @ArakiCrafts: Small Beard Comb https://t.co/8D8A5ZCidP via @Etsy Gift for Dad\n#ecoliving #gogreen #plasticfreeliving #motherearth #waste,0,2
58,2019-06-06 20:05:42,RT @ArakiCrafts: Luxury wooden comb https://t.co/Phl4jIYRfB via @Etsy #ecoliving #gogreen #plasticfreeliving #motherearth #wastefree #ecoli,0,3
59,2019-06-06 18:18:04,The best brand for activated charcoal and yes I know they look like poop but come on be a grown up and save your pl https://t.co/HVV0c8YPvP,0,0
60,2019-06-06 18:14:36,"Stop using plastic water bottles buy your own bottle and fill it with tap water, order Japanese activated charcoal https://t.co/jtDdy08nFB",0,0
61,2019-06-06 17:20:00,Hey @diepieyeg \n\nThanks for being classy and eco conscious by offering cloth napkins and no straws. \n\nDelicious veg https://t.co/SnnzzaF2Ll,10,0
62,2019-06-06 15:23:38,Thanks @maatschapwij for the inspiration and sharing our story on #worldenvironmentday ! #together #circulareconomy https://t.co/irenf7vIPz,1,1
63,2019-06-06 15:15:08,Mooi dat we een bijdage mochten leveren aan @nddho19 vorige week over circulair inkopen #circulareconomy #circulair https://t.co/61Hq5QZ5wV,1,0
64,2019-06-06 13:45:42,RT @feather_mint: Start to building second shelving unit for my studio/ shop. This is part of my #wastelesslivemore project.\n.\n.\n.\n#recycle,0,2
65,2019-06-06 13:22:33,RT @feather_mint: Start to building second shelving unit for my studio/ shop. This is part of my #wastelesslivemore project.\n.\n.\n.\n#recycle,0,2
66,2019-06-06 13:10:12,Start to building second shelving unit for my studio/ shop. This is part of my #wastelesslivemore project.\n.\n.\n. https://t.co/6aEBqhVOlj,1,2
67,2019-06-06 12:11:59,Pupils in Year 7 are partaking in the School Environment Project. Did you know the world generates at least 3.5 mil https://t.co/YCWiZPNWCN,0,0
