,Time,Tweet,Favorites,Retweets
39,2019-06-05 17:54:33,RT @plasticfreemkh: Available until 25th June. Ditch cling film and disposable coffee cups (which have a plastic lining).\n\n#plasticfree #mo,0,2
40,2019-06-05 17:48:11,Available until 25th June. Ditch cling film and disposable coffee cups (which have a plastic lining).\n\n#plasticfree https://t.co/gJhIBAR5Qk,3,2
41,2019-06-05 17:42:48,"Beeswax wraps, soy wax wraps, tuppaware or a lunch box. There is no need for cling film!\n\n#reusable #reusables https://t.co/Q4dpsvGquG",5,1
42,2019-06-05 10:57:02,"You can join our email community - never miss out on our content by joining the community. Plus, when you sign up, https://t.co/2eQtrn1crl",1,0
43,2019-06-05 10:06:51,"RT @cleanAirBharat: Our amazing  member , food on the go for her is always in her #reusables , she's a  working person never forgets to lea",0,3
44,2019-06-05 08:25:23,"RT @cleanAirBharat: Our amazing  member , food on the go for her is always in her #reusables , she's a  working person never forgets to lea",0,3
45,2019-06-05 08:03:16,"Our amazing  member , food on the go for her is always in her #reusables , she's a  working person never forgets to https://t.co/zv0PsBZIEH",6,3
46,2019-06-05 07:50:20,"Minimise your impact on the planet this #WorldEnvironmentDay and beyond! Use #reusables | conserve #energy | walk, https://t.co/WNe6oiU9aW",2,1
47,2019-06-04 10:31:34,Waitrose launches packaging-free trial https://t.co/4ZLPbXMYaB #zerowaste #reusables - please bring this to Cambridge asap.,3,0
48,2019-06-04 07:39:27,One step closer to zero-waste! Fantastic to see @waitrose launching a packaging-free trial! \n___\n#BringYourOwn https://t.co/cLnni4lHfG,5,0
49,2019-06-04 04:47:47,RT @cleanAirBharat: #TakeAction5ThJune\n1when u leave home take  the #3B'sBag BoxBottle for food on the go.\n 2.Refuse to be served food in #,0,6
50,2019-06-04 04:22:41,RT @cleanAirBharat: #TakeAction5ThJune\n1when u leave home take  the #3B'sBag BoxBottle for food on the go.\n 2.Refuse to be served food in #,0,6
51,2019-06-04 02:21:52,RT @cleanAirBharat: #TakeAction5ThJune\n1when u leave home take  the #3B'sBag BoxBottle for food on the go.\n 2.Refuse to be served food in #,0,6
52,2019-06-04 01:51:55,RT @cleanAirBharat: #TakeAction5ThJune\n1when u leave home take  the #3B'sBag BoxBottle for food on the go.\n 2.Refuse to be served food in #,0,6
53,2019-06-04 00:11:35,RT @cleanAirBharat: #TakeAction5ThJune\n1when u leave home take  the #3B'sBag BoxBottle for food on the go.\n 2.Refuse to be served food in #,0,6
54,2019-06-03 14:17:04,#TakeAction5ThJune\n1when u leave home take  the #3B'sBag BoxBottle for food on the go.\n 2.Refuse to be served food https://t.co/sBc52KKI0v,3,6
55,2019-06-03 08:44:48,RT @wokeandconfused: Woo hoo! The Woke and Confused Podcast is now on @Itunes  Catch up on our first 2 episodes as we discuss the dilemmas,0,2
56,2019-06-03 08:36:26,#RedBirdEdit #HuskeeSwap #HuskeeCafe #ReuseRevolution #NoToSingleUse #ReusableTakeawayCup #SwapCup #Reusables https://t.co/KW7emf0kWZ,1,0
57,2019-06-02 10:57:02,"You can join our email community - never miss out on our content by joining the community. Plus, when you sign up, https://t.co/WUISyf4tt1",0,0
58,2019-06-02 08:35:18,"Be more like Bees \n    \nIf only humans lived the same way as bees, the planet wouldnt be in the trouble it is https://t.co/al1aRLx8s1",2,0
59,2019-06-01 19:33:18,RT @PackagingNotInc: We're now officially a @Refill station.  Anyone can pop in to refill their water bottle. June 19th is National Refill,0,4
60,2019-06-01 08:36:29,RT @PackagingNotInc: We're now officially a @Refill station.  Anyone can pop in to refill their water bottle. June 19th is National Refill,0,4
61,2019-06-01 05:27:00,"RT @PatiodelAtelier: En #Grner fabrican y comercializan productos amigables con el medio ambiente tanto naturales, #biodegradables o #reus",0,2
62,2019-06-01 04:34:47,RT @PackagingNotInc: We're now officially a @Refill station.  Anyone can pop in to refill their water bottle. June 19th is National Refill,0,4
63,2019-05-31 21:42:03,We're now officially a @Refill station.  Anyone can pop in to refill their water bottle. June 19th is National Ref https://t.co/ogpBbPm9dj,12,4
64,2019-05-31 17:55:18,"RT @WEN_UK: LIVE COUNTDOWN - join us live at NOON TODAY for #MHD2019 - we are talking menstrual cups, washable pads &amp; period pants.  Got a",0,2
