,Time,Tweet,Favorites,Retweets
37,2019-06-07 12:26:39,RT @PristineFamily: Happy #worldenvironmentday!\n\n#saynotoplastic #savetheplanet #goorganic #savewater #zerowasteliving #beatairpollution ht,0,2
38,2019-06-07 11:30:04,#savetheseas #stopplasticpollution #saynotoplastic #noplastic #stopplasticpollution #saynotoplastic #noplastic https://t.co/zrKCS6issa,0,0
39,2019-06-07 07:44:04,"Love &amp; Food, are meant for sharing, not for wasting""\n #zerowaste #food #hunger #foodrescue #poverty https://t.co/i0EUJjoSFg",1,0
40,2019-06-07 05:37:20,Gracias. Thanks @ambienteeuropeo\n#zerowaste #zerowastehome #zerowastelife\n#zerowastelifestyle\n#zerowasteliving https://t.co/cEkyDthhbL,0,0
41,2019-06-07 05:37:00,#zerowaste #zerowastehome #zerowastelife\n#zerowastelifestyle\n#zerowasteliving\n#goingreen #residuo #goingzerowaste https://t.co/KvFkGguxWR,0,0
42,2019-06-07 05:36:51,A dog\nA horse\nA stupid person\n\n#zerowaste #zerowastehome\n #zerowastelife\n#zerowastelifestyle\n#zerowasteliving https://t.co/sM6qgA5xea,0,0
43,2019-06-07 05:36:39,We eat 70.000 particles a year.\n\n#zerowaste #zerowastehome #zerowastelife\n#zerowastelifestyle\n#zerowasteliving https://t.co/2IPaecW3qD,0,0
44,2019-06-07 04:54:05,#flemington #footscray #cheaperbuymiles #kensington #newmarket #chocoholic #frenchchocolate #frenchfood #france https://t.co/AYqS4hHDSd,1,0
45,2019-06-07 04:21:13,"We all have to start somewhere and GRIND, GRIND, GRIND..\nCongratulations HOVA. #GETSNEAKEY #rockstarinventor https://t.co/lveQdgZEQ3",0,0
46,2019-06-07 03:41:58,#reduce #reuse #GETSNEAKEY #rockstarinventor #shapesherpa #saveouroceans #saveourplanet #reusable #banthebag https://t.co/6V5mByxyuL,0,0
47,2019-06-07 01:29:43,#newmarket #kensington #dairy #calcium #madeinaustralia #protein #proteinshake #zerowasteshopping #zerowasteshop https://t.co/AO40P1DYaA,0,0
48,2019-06-06 20:58:33,RT @thisisntanna: Looking for bloggers and writers on #recycling  #zerowastehome #zerowastelifestyle #wastefree #reuse #greenliving #nowast,0,3
49,2019-06-06 20:25:37,Can we please be more responsible? \n\n#zerowaste #zerowasteuk #plasticfree #climatechange #nowaste #zerowastelife https://t.co/xbGG7vZ2np,3,0
50,2019-06-06 16:55:41,Check out the Happy Turtle Shop n Store bags. Get 20% off using code  WeTurnOne\n#4rs #recycle #reuse #reduce https://t.co/4nYXwN7BQw,1,0
51,2019-06-06 14:55:43,"Get a great DEAL on your your SneakeyBag. Use promo code ""PLANET"" at checkout and get 20%off. \n#GETSNEAKEY https://t.co/oXTVd8bTjn",0,0
52,2019-06-06 13:38:17,#bthechange #bethechange #compostable #zerowaste #zerowastehome #zerowasteliving #endoflife #sustainable #eco https://t.co/AdYwoYdRfz,0,0
