,Time,Tweet,Favorites,Retweets
42,2019-06-06 13:07:03,"RT @ChooseGlass: According to Popular Science, sipping from a #glass bottle is best packaging for a ""pure, unaltered taste."" Here\'s why. #C",0,2
43,2019-06-06 11:30:08,"RT @ChooseGlass: Recycled glass can be substituted for up to 95% of raw materials to make new #glass bottles  helping to reduce emissions,",0,7
44,2019-06-06 08:46:05,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
45,2019-06-06 08:30:30,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
46,2019-06-06 07:55:06,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
47,2019-06-06 06:23:56,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
48,2019-06-06 01:44:11,"RT @ChooseGlass: Food &amp; beverage manufacturers turn to #glass packaging as a safe, sustainable, premium &amp; transparent option. #ChooseGlass",0,1
49,2019-06-06 01:43:12,"RT @StratMaterials: Glass is 100% &amp; endlessly recyclable, inert, ocean-friendly, saves energy &amp; reduces CO2 emissions in the production of",0,6
50,2019-06-05 21:05:27,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
51,2019-06-05 18:58:51,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
52,2019-06-05 18:36:54,"RT @StratMaterials: Glass is 100% &amp; endlessly recyclable, inert, ocean-friendly, saves energy &amp; reduces CO2 emissions in the production of",0,6
53,2019-06-05 18:31:52,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
54,2019-06-05 18:29:20,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
55,2019-06-05 18:05:43,RT @Consol_Glass: Here's something we all should remember on #WorldEnvironmentDay. Switching to glass is one of the simplest ways to do you,0,28
56,2019-06-05 17:43:28,"RT @StratMaterials: Glass is 100% &amp; endlessly recyclable, inert, ocean-friendly, saves energy &amp; reduces CO2 emissions in the production of",0,6
57,2019-06-05 17:14:31,"RT @StratMaterials: Glass is 100% &amp; endlessly recyclable, inert, ocean-friendly, saves energy &amp; reduces CO2 emissions in the production of",0,6
